,Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
83,29,Rogers,CARD,R,Julie,Daniels,415,634,Kathy Townsend
84,29,Washington,CARD,R,Julie,Daniels,415,634,Kathy Townsend
85,30,Oklahoma,CAAOKC,D,Julia,Kirt,514,636,Donna Ambler
86,31,Comanche,GPIF,R,Chris,Kidd,427,563,Suzanne Earnest
87,31,Cotton,CADC,R,Chris,Kidd,427,563,Suzanne Earnest
88,31,Jefferson,CADC,R,Chris,Kidd,427,563,Suzanne Earnest
89,31,Tillman,CADC,R,Chris,Kidd,427,563,Suzanne Earnest
90,32,Comanche,GPIF,R,John Michael,Montgomery,529,567,Jessica McClung
91,33,Tulsa,CAP Tulsa,R,Nathan,Dahm,526,551,Sharon Brown
92,34,Tulsa,CAP Tulsa,D,JJ,Dossett,515,566,Pam King
93,37,Tulsa,CAP Tulsa,D,Allison,Ikley-Freeman,524,600,Audra Cross
94,38,Custer,Opportunities,R,Brent,Howard,536,612,Pam Nordstrom
95,38,Greer,SOCAG,R,Brent,Howard,536,612,Pam Nordstrom
96,38,Harmon,SOCAG,R,Brent,Howard,536,612,Pam Nordstrom
97,38,Jackson,SOCAG,R,Brent,Howard,536,612,Pam Nordstrom
98,38,Kiowa,CADC,R,Brent,Howard,536,612,Pam Nordstrom
99,38,Washita,CADC,R,Brent,Howard,536,612,Pam Nordstrom
100,41,Oklahoma,CAAOKC,R,Adam,Pugh,528,622,A.J. Mallory
101,42,Oklahoma,CAAOKC,R,Brenda,Stanley,529,584,Denise Manek
102,43,Garvin,Delta,R,Paul,Scott,428,522,Audra Brice
103,43,Grady,WVCAC,R,Paul,Scott,428,522,Audra Brice
104,43,McClain,Delta,R,Paul,Scott,428,522,Audra Brice
105,43,Stephens,Delta,R,Paul,Scott,428,522,Audra Brice
106,45,Canadian,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
107,45,Oklahoma,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
