Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
6,Bryan,Big 5,R,David,Bullard,533,586,Anita Clayton
6,Coal,Big 5,R,David,Bullard,533,586,Anita Clayton
13,Pontotoc,Big 5,R,Greg,McCortney,528,541,Chelsea Pinney
14,Carter,Big 5,R,Frank,Simpson,527,607,Glenda Colbert
14,Love,Big 5,R,Frank,Simpson,527,607,Glenda Colbert
