Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
7,Hughes,DFCAF,R,Larry,Boggs,530,604,Anita Bell
7,Okfuskee,DFCAF,R,Larry,Boggs,530,604,Anita Bell
8,McIntosh,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
8,Okfuskee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
8,Okmulgee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
13,Hughes,DFCAF,R,Greg,McCortney,528,541,Chelsea Pinney
7,Okfuskee,DFCAF,R,Larry,Boggs,530,604,Anita Bell
8,Okfuskee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
