Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
23,Grady,WVCAC,R,Lonnie,Paxton,238,537,Roxanne Blystone
26,Caddo,WVCAC,R,Darcy,Jech,417,545,Jamie Hudson
43,Grady,WVCAC,R,Paul,Scott,428,522,Audra Brice
