Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
10,Osage,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
10,Kay,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
12,Creek,UCAP,R,James,Leewright,425,528,Cheryl Boothe
19,Kay,UCAP,R,Roland,Pederson,413,630,Angie Robinson
20,Noble ,UCAP,R,Chuck,Hall,411,628,Kala Plagg
20,Pawnee,UCAP,R,Chuck,Hall,411,628,Kala Plagg
10,Osage,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
11,Osage,UCAP,D,Kevin,Matthews,516,598,Gracie Monson
