Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
13,Garvin,Delta,R,Greg,McCortney,528,541,Chelsea Pinney
43,Garvin,Delta,R,Paul,Scott,428,522,Audra Brice
43,McClain,Delta,R,Paul,Scott,428,522,Audra Brice
43,Stephens,Delta,R,Paul,Scott,428,522,Audra Brice
31,Stephens,Delta,R,Chris,Kidd,427,563,Suzanne Earnest
43,Stephens,Delta,R,Paul,Scott,428,522,Audra Brice
