Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
1,Craig ,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
1,Delaware,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
1,Ottawa,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
3,Adair,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
3,Cherokee,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
3,Delaware,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
18,Cherokee,NEOCAA,R,Kim,David,421,590,Gayla Guinn
9,Cherokee,NEOCAA,R,Dewayne,Pemberton,429,533,Peggy White
18,Cherokee,NEOCAA,R,Kim,David,421,590,Gayla Guinn
